Time/Tenor 1d_Hist 1d_Low 1d_High 7d_Hist 7d_Low 7d_High 21d_Hist 21d_Low 21d_High 42d_Hist 42d_Low 42d_High 63d_Hist 63d_Low 63d_High 126d_Hist 126d_Low 126d_High 252d_Hist 252d_Low 252d_High
0.0952381 0.07 0.0545297 0.0641746 0.062425 0.054563 0.0640987 0.0591156 0.0546387 0.0639267 0.0585094 0.0547205 0.0636547 0.0580313 0.0546505 0.0632308 0.0567719 0.0545753 0.0622178 0.0560375 0.0547004 0.0609917
0.0992063 0.07 0.0543029 0.0640184 0.0618906 0.0543384 0.0639266 0.05915 0.054414 0.0637313 0.0585297 0.0545045 0.0634703 0.058 0.0544536 0.0630857 0.0567469 0.0544389 0.0621501 0.056 0.0545475 0.0608816
0.103175 0.07 0.0541974 0.0641175 0.0606031 0.0542341 0.0640398 0.0589563 0.0543185 0.0638648 0.0584766 0.0543944 0.0635668 0.057975 0.0543399 0.0631562 0.05675 0.0543367 0.0621839 0.0559719 0.0545115 0.0608964
0.107143 0.0648625 0.0539579 0.0640913 0.0597109 0.0540014 0.064009 0.0587063 0.0541017 0.0638241 0.0583922 0.0541855 0.0635014 0.057975 0.0541443 0.0630776 0.0567844 0.0541891 0.0621024 0.0559797 0.0543758 0.060795
0.111111 0.0571938 0.0535953 0.0640612 0.0578 0.0536413 0.0639837 0.0583375 0.0537479 0.0638158 0.0580906 0.0538292 0.0635193 0.0578391 0.0537956 0.0631297 0.0568188 0.053868 0.0621538 0.0561625 0.0540489 0.0609542
0.115079 0.05545 0.0536312 0.0642594 0.0576016 0.0536812 0.0641735 0.0581906 0.0537978 0.0639925 0.058075 0.0538812 0.0636588 0.0577891 0.0538591 0.0632443 0.0567469 0.0538978 0.0623065 0.0560172 0.0540887 0.0610161
0.119048 0.0563063 0.0535096 0.0644233 0.0568844 0.0535402 0.0643393 0.0579281 0.0536136 0.0641526 0.0577016 0.053702 0.0637913 0.0575625 0.0536967 0.0633638 0.0564125 0.053859 0.0624179 0.0556844 0.0539716 0.0610348
0.123016 0.056525 0.0533396 0.0644693 0.056925 0.0533949 0.0643886 0.0579391 0.0535171 0.0642099 0.057725 0.0535712 0.0638472 0.0575625 0.0535478 0.0634265 0.0565281 0.0536839 0.0624848 0.0559625 0.0539546 0.0610882
0.126984 0.0568781 0.0533737 0.0647203 0.0569188 0.0534222 0.064627 0.0580031 0.0535372 0.0644205 0.0578516 0.0535807 0.0640228 0.0576875 0.0535476 0.0635867 0.0568094 0.0536147 0.0626097 0.0563188 0.0538471 0.0611361
0.130952 0.0587563 0.0532652 0.0644986 0.0575 0.0533162 0.0644112 0.058025 0.0534376 0.0642187 0.0578141 0.0534772 0.0638101 0.0576875 0.0534589 0.0633892 0.0567719 0.0536062 0.0624339 0.0563125 0.0537775 0.0610714
0.134921 0.053775 0.0531379 0.0645228 0.0563953 0.0531892 0.0644288 0.0577375 0.0532834 0.0642223 0.0577125 0.0532668 0.0637806 0.057575 0.0532256 0.0633209 0.0567 0.053456 0.0623979 0.0562438 0.0537435 0.0611646
0.138889 0.0583719 0.0530958 0.0645764 0.0575 0.0531544 0.0644932 0.0577766 0.0532943 0.064292 0.057725 0.0533323 0.0638911 0.0575875 0.0533085 0.0634573 0.056675 0.0533622 0.0624858 0.0562563 0.0536716 0.0611531
0.142857 0.0512188 0.0532021 0.0647724 0.0547 0.0532512 0.0646911 0.0575125 0.0533664 0.0645099 0.0575 0.0533572 0.0640774 0.05745 0.0533217 0.0636505 0.0565656 0.0534353 0.0627218 0.05605 0.0536481 0.0613559
0.146825 0.0512375 0.0528648 0.0649199 0.0532844 0.0529317 0.0648283 0.0571734 0.0530828 0.0646202 0.0572484 0.0531117 0.0641409 0.0572484 0.0531326 0.0636919 0.0564578 0.0532653 0.0627133 0.0559844 0.0535668 0.0614584
0.150794 0.05185 0.0528595 0.0652451 0.0545844 0.052908 0.0651591 0.0571484 0.053018 0.0649591 0.0571609 0.0529769 0.0644743 0.0571734 0.0529466 0.0640243 0.0564 0.0532556 0.063045 0.0559438 0.0535835 0.0615884
0.154762 0.05 0.0527425 0.0652501 0.055075 0.0527995 0.0651488 0.057 0.0529198 0.0649098 0.057 0.0528802 0.0644224 0.056975 0.0528647 0.0640065 0.0561469 0.0530576 0.0629792 0.0556781 0.0534644 0.0615657
0.15873 0.055 0.0521515 0.0651975 0.0568625 0.0522352 0.0651014 0.0571703 0.0524116 0.0648701 0.057 0.0524385 0.0643156 0.0569063 0.0525035 0.0638901 0.0560094 0.0529449 0.0629214 0.0554641 0.0535345 0.0614948
0.162698 0.0623594 0.0522927 0.0651638 0.0593969 0.0523572 0.0650909 0.0572219 0.0524853 0.0649073 0.0568344 0.0524298 0.0644065 0.0564688 0.0524277 0.0639841 0.0555422 0.0527537 0.0630963 0.0549375 0.0532627 0.061664
0.166667 0.0575 0.0521804 0.0653103 0.0586313 0.0522542 0.0652069 0.0573359 0.0524201 0.0649951 0.0569156 0.0523877 0.0644851 0.0565203 0.052417 0.0640689 0.0555031 0.0526727 0.0632011 0.0549125 0.053189 0.0617231
0.170635 0.05 0.051943 0.0652914 0.0541656 0.0520106 0.0652072 0.0569188 0.0521444 0.0649984 0.0568438 0.0521119 0.0644376 0.0564828 0.0521438 0.0639721 0.0555531 0.05245 0.0629865 0.054975 0.0530679 0.0615684
0.174603 0.0522819 0.051911 0.0653752 0.0551875 0.0519741 0.0652774 0.0569 0.0520793 0.0650178 0.0567969 0.0520362 0.0644546 0.0563938 0.0520566 0.0639853 0.0555906 0.0523718 0.0631157 0.05505 0.0529557 0.0616983
0.178571 0.05 0.0518555 0.0656916 0.0535578 0.0519319 0.0655795 0.0567719 0.0520478 0.0652685 0.0566875 0.0520506 0.0647338 0.0563563 0.0521114 0.0642635 0.05565 0.0524615 0.0632553 0.0552766 0.0529936 0.0617362
0.18254 0.0488781 0.051998 0.0658937 0.0530938 0.0520607 0.0657815 0.0566656 0.0521261 0.0654556 0.0566031 0.0520897 0.0648837 0.0563625 0.0521121 0.0644172 0.0556344 0.0524247 0.0634398 0.05525 0.0529393 0.0618867
0.186508 0.0485531 0.0518899 0.0657228 0.0520406 0.0519682 0.0656282 0.0565078 0.0520483 0.0653165 0.0564828 0.0520654 0.0647749 0.0562938 0.0521349 0.0642999 0.0556094 0.0523761 0.0632911 0.0550875 0.05309 0.061771
0.190476 0.0478688 0.0520298 0.0659019 0.05125 0.0520963 0.0657834 0.0562313 0.052129 0.0653968 0.0562313 0.0521129 0.0647832 0.0561938 0.0521485 0.0642565 0.0555266 0.0524595 0.0633154 0.054975 0.0526889 0.0618688
0.194444 0.0456063 0.0517851 0.0660766 0.0517875 0.0518352 0.0659755 0.0561422 0.0517886 0.065607 0.0561875 0.0517755 0.0650542 0.05615 0.0518293 0.0645817 0.0554641 0.0522604 0.0636064 0.0548375 0.0527643 0.062018
0.198413 0.0477125 0.051653 0.0661542 0.052575 0.051704 0.0660329 0.0558406 0.0516584 0.0656124 0.0559047 0.0516032 0.0650955 0.0559172 0.0515969 0.0646527 0.0552 0.0519632 0.0637074 0.0545734 0.052608 0.0621416
0.202381 0.0475 0.0513834 0.0661812 0.0525625 0.0514492 0.0660823 0.0556141 0.0514646 0.0656741 0.0556625 0.0513942 0.0651389 0.0555797 0.0513704 0.0646613 0.054925 0.0517047 0.0637372 0.0542563 0.0524717 0.062185
0.206349 0.0485031 0.0513262 0.0661705 0.0527 0.0513836 0.0660769 0.0553891 0.0513188 0.0656498 0.0551625 0.051389 0.0651227 0.0549625 0.0514928 0.0646806 0.0542844 0.0519283 0.0637411 0.0536813 0.052516 0.0621397
0.210317 0.0581438 0.0513734 0.066198 0.0567688 0.0514516 0.0661047 0.0558453 0.051398 0.0656619 0.055175 0.05139 0.065155 0.054875 0.0513951 0.0647113 0.0540078 0.0518474 0.0638268 0.0533484 0.0525804 0.0621775
0.214286 0.0604406 0.0514928 0.066327 0.0585656 0.0515361 0.0662328 0.0561438 0.0513796 0.0657018 0.0553797 0.0513236 0.0651732 0.0548625 0.0513031 0.0647452 0.0540203 0.0517635 0.0637667 0.0532813 0.0525036 0.0622385
0.218254 0.0661813 0.0516461 0.0662854 0.0607813 0.0517208 0.0661822 0.0569281 0.0515448 0.0656682 0.0557219 0.051568 0.0651429 0.0549875 0.0516754 0.0646487 0.0539828 0.0520464 0.063623 0.0532563 0.0524964 0.0621357
0.222222 0.0556094 0.0515052 0.0663509 0.057675 0.0515547 0.0662588 0.0567234 0.0513619 0.0657444 0.0556844 0.0513386 0.0652219 0.0550125 0.051439 0.0646947 0.0537188 0.0518755 0.0638463 0.0529719 0.0525238 0.0622572
0.22619 0.0587813 0.0514826 0.0661417 0.0581438 0.0514981 0.0659974 0.0565781 0.0513856 0.0655157 0.0555125 0.0514391 0.0650459 0.0549375 0.0514657 0.0646212 0.0535469 0.0518977 0.0638059 0.0526891 0.0523125 0.0623468
0.230159 0.053775 0.0516087 0.0667508 0.0563625 0.0515624 0.0665369 0.05625 0.0514592 0.0660532 0.0553672 0.0514959 0.0655455 0.0547219 0.0515449 0.0650802 0.0531938 0.0519889 0.0641583 0.0524359 0.0525347 0.0623246
0.234127 0.0620969 0.0513371 0.0664831 0.0586313 0.0512368 0.0662136 0.0562 0.0511687 0.0657652 0.0553563 0.0511701 0.065273 0.0546969 0.0512516 0.0647955 0.0531531 0.05179 0.0638519 0.0523875 0.0524289 0.0621829
0.238095 0.0643906 0.05137 0.0662083 0.060975 0.0512138 0.0658868 0.05635 0.0511959 0.0654865 0.0553891 0.051311 0.0650283 0.0547188 0.051424 0.0645944 0.0531563 0.0518638 0.0637435 0.0523234 0.0524556 0.0621786
0.242063 0.0534188 0.0513921 0.0662694 0.05765 0.0511492 0.0658954 0.0563313 0.0510986 0.0655265 0.0555125 0.051164 0.0650705 0.0549875 0.0512453 0.06464 0.0534375 0.0517996 0.0638066 0.0526375 0.0525201 0.0621411
0.246032 0.0602875 0.0512125 0.0660774 0.0618094 0.0509393 0.0656289 0.0565078 0.0509956 0.0652877 0.0556031 0.0511084 0.0648746 0.055 0.0511994 0.064433 0.0534922 0.0517604 0.063581 0.052675 0.0523892 0.0620217
0.25 0.065 0.0509521 0.0660578 0.0638375 0.0509879 0.0659196 0.0568844 0.051039 0.065579 0.055825 0.0511335 0.0650805 0.0552641 0.0512116 0.0646 0.0536625 0.0518089 0.0636636 0.0528047 0.0524308 0.0620084
0.253968 0.064875 0.0508268 0.0658571 0.0613375 0.0508781 0.0657213 0.056625 0.0509908 0.0654097 0.0556219 0.0511418 0.0649557 0.055 0.0512569 0.0645253 0.0532984 0.0517579 0.0636962 0.052425 0.0522737 0.0620581
0.257937 0.066475 0.0509234 0.0658775 0.0612438 0.0509401 0.0657408 0.0564578 0.0510107 0.065427 0.055575 0.0510848 0.0649693 0.055 0.0511618 0.064544 0.0532875 0.0516697 0.0637025 0.052425 0.0522043 0.0621068
0.261905 0.0682313 0.0505802 0.0659338 0.0602 0.0506023 0.065797 0.0559313 0.050649 0.0654833 0.0551766 0.0507073 0.0650261 0.0547359 0.0507905 0.0646108 0.0531313 0.0514508 0.0637744 0.0522094 0.0521162 0.0621945
