Date capfloor.ee capfloor.pfe norisk.ee norisk.pfe cva.ee cva.pfe
4 13.7985 38.0627 14.0994 38.8926 0.300867 0.82993 
4.05 13.4633 37.9652 13.7569 38.793 0.293558 0.827806 
4.1 13.2418 37.3326 13.5305 38.1466 0.288728 0.814011 
4.15 12.9549 37.4247 13.2374 38.2407 0.282473 0.81602 
4.2 12.7292 36.6762 13.0067 37.4759 0.277551 0.7997 
4.25 12.5266 35.7844 12.7997 36.5647 0.273134 0.780255 
4.3 12.2893 35.3714 12.5572 36.1426 0.267959 0.771249 
4.35 11.9845 34.7794 12.2458 35.5377 0.261314 0.758341 
4.4 11.6994 33.9068 11.9545 34.6461 0.255098 0.739314 
4.45 11.4362 32.6167 11.6855 33.3279 0.249358 0.711184 
4.5 11.1732 32.5752 11.4168 33.2854 0.243624 0.710279 
4.55 10.8972 31.526 11.1348 32.2134 0.237607 0.687403 
4.6 10.5484 30.2802 10.7784 30.9405 0.23 0.66024 
4.65 10.2416 29.2439 10.4649 29.8815 0.223311 0.637643 
4.7 9.90366 28.3325 10.1196 28.9503 0.215942 0.617772 
4.75 9.51751 27.3595 9.72503 27.956 0.207523 0.596555 
4.8 9.22746 26.6989 9.42866 27.281 0.201198 0.58215 
4.85 8.96438 25.8829 9.15984 26.4472 0.195462 0.564358 
4.9 8.73539 24.7999 8.92586 25.3407 0.190469 0.540745 
4.95 8.69784 24.3312 8.88749 24.8617 0.18965 0.530525 
5 8.81312 24.8602 9.00529 25.4023 0.192164 0.542061 
5.05 8.43334 24.2444 8.61723 24.7731 0.183883 0.528633 
5.1 8.08746 23.3541 8.2638 23.8633 0.176342 0.50922 
5.15 7.68207 21.5671 7.84957 22.0374 0.167502 0.470256 
5.2 7.27148 20.9781 7.43003 21.4355 0.15855 0.457413 
5.25 6.85915 19.9412 7.00871 20.376 0.149559 0.434805 
5.3 6.44565 18.6629 6.5862 19.0699 0.140543 0.406933 
5.35 6.0386 17.2764 6.17027 17.6531 0.131668 0.376699 
5.4 5.64278 16.2248 5.76582 16.5786 0.123037 0.353772 
5.45 5.19693 15.0675 5.31025 15.396 0.113316 0.328536 
5.5 4.75758 13.7886 4.86131 14.0893 0.103736 0.300652 
5.55 4.31003 12.5606 4.40401 12.8345 0.0939772 0.273876 
5.6 3.85767 11.1644 3.94178 11.4078 0.0841138 0.243431 
5.65 3.37335 9.72014 3.44691 9.93208 0.0735536 0.211941 
5.7 2.87976 8.13106 2.94255 8.30835 0.0627912 0.177292 
5.75 2.40033 6.55255 2.45267 6.69543 0.0523376 0.142874 
5.8 1.92488 5.05061 1.96685 5.16074 0.0419706 0.110125 
5.85 1.48087 3.5729 1.51316 3.6508 0.0322894 0.0779046 
5.9 1.10081 2.12867 1.12481 2.17508 0.0240023 0.0464141 
5.95 0.88484 0.968415 0.904133 0.989531 0.0192933 0.0211156 
6 0.864819 0.864819 0.883676 0.883676 0.0188568 0.0188568 
